"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/index.ts", "TypeScript", 34, 6, 8, 48
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/producer.ts", "TypeScript", 103, 5, 8, 116
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/billing/index.ts", "TypeScript", 55, 3, 7, 65
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/finish/index.ts", "TypeScript", 60, 10, 5, 75
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/__index.ts", "TypeScript", 98, 13, 14, 125
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/__index_ext_provider.ts", "TypeScript", 117, 18, 14, 149
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/cot_compliments_about_company.ts", "TypeScript", 42, 0, 2, 44
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/cot_industry_challenge.ts", "TypeScript", 42, 0, 2, 44
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/cot_looking_for_their_service_mock.ts", "TypeScript", 42, 0, 2, 44
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/cot_refined_compliments_about_company.ts", "TypeScript", 42, 0, 2, 44
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/cot_refined_industry_challenge.ts", "TypeScript", 42, 0, 2, 44
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/cot_refined_looking_for_their_service_mock.ts", "TypeScript", 53, 0, 2, 55
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/index.ts", "TypeScript", 193, 20, 18, 231
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/generate_line/pick_sentence_beginning.ts", "TypeScript", 25, 1, 2, 28
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/log/index.ts", "TypeScript", 18, 0, 2, 20
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/next/index.ts", "TypeScript", 18, 0, 2, 20
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/retry/closeJob.ts", "TypeScript", 58, 9, 7, 74
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/retry/index.ts", "TypeScript", 35, 0, 2, 37
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/convertToPlain.ts", "TypeScript", 23, 12, 8, 43
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/convertToPlain2.ts", "TypeScript", 0, 57, 11, 68
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/convertToPlain3.ts", "TypeScript", 42, 16, 11, 69
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/convertToPlain4.ts", "TypeScript", 66, 26, 17, 109
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/index.ts", "TypeScript", 99, 13, 19, 131
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/index_scraperapi.ts", "TypeScript", 57, 14, 6, 77
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/isValid.ts", "TypeScript", 4, 0, 1, 5
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/scrape/transformUrl.ts", "TypeScript", 10, 3, 4, 17
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/tasks/summarize/index.ts", "TypeScript", 76, 20, 8, 104
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/utils/bee.ts", "TypeScript", 0, 24, 7, 31
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/utils/bullmq.ts", "TypeScript", 11, 3, 4, 18
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/utils/database.helpers.ts", "TypeScript", 3, 1, 2, 6
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/utils/database.types.ts", "TypeScript", 497, 0, 2, 499
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/utils/openai.ts", "TypeScript", 4, 0, 2, 6
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/utils/supabase.ts", "TypeScript", 15, 5, 6, 26
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/worker.ts", "TypeScript", 78, 165, 44, 287
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/worker_finish_thread.ts", "TypeScript", 5, 0, 2, 7
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/worker_generate_thread.ts", "TypeScript", 5, 0, 2, 7
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/worker_retry_thread.ts", "TypeScript", 5, 0, 2, 7
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/worker_scrape_thread.ts", "TypeScript", 5, 0, 2, 7
"/Users/oliversommer/Projects/leadX/introlines/services/service-broker/src/worker_summarize_thread.ts", "TypeScript", 5, 0, 2, 7
"Total", "-", 2087, 444, 263, 2794
